time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-07T12:52:36.010Z,44.540333333333336,-122.55083333333333,13.17,4.39,ml,41,47,0.1347,0.27,uw,uw61886506,2023-01-13T21:55:50.596Z,"16 km ESE of Lacomb, Oregon",earthquake,0.38,1.63,0.17083806202905638,32,reviewed,uw,uw
2022-07-24T08:43:00.600Z,45.463166666666666,-122.93316666666666,19.98,2.84,ml,64,36,0.07682,0.14,uw,uw61856377,2022-10-01T22:09:47.040Z,"6 km SW of Aloha, Oregon",earthquake,0.18,0.4,0.15617871514701687,55,reviewed,uw,uw
2022-06-07T01:58:28.720Z,45.622,-122.45583333333333,6.82,2.65,ml,75,49,0.03047,0.2,uw,uw61840137,2022-10-06T20:51:46.084Z,"3 km SE of Mill Plain, Washington",earthquake,0.16,0.32,0.13957205784398097,31,reviewed,uw,uw
2022-05-25T10:38:07.350Z,45.17016666666667,-122.62566666666666,24.19,2.7,ml,57,58,0.1086,0.19,uw,uw61835187,2022-08-02T19:50:50.040Z,"4 km WNW of Molalla, Oregon",earthquake,0.27,0.46,0.10899546690593276,21,reviewed,uw,uw
2022-03-18T16:21:55.120Z,44.54266666666667,-122.547,12.06,2.61,ml,32,41,0.1377,0.3,uw,uw61814392,2022-10-07T15:50:20.312Z,"16 km ESE of Lacomb, Oregon",earthquake,0.33,1.59,0.1464720755339881,21,reviewed,uw,uw
2021-11-27T05:18:46.760Z,45.307,-123.967833333333,15.35,2.54,ml,29,171,0.1023,0.18,uw,uw61800711,2022-02-05T23:04:18.040Z,"11 km WNW of Beaver, Oregon",earthquake,0.39,0.89,0.115630229888198,6,reviewed,uw,uw
2021-06-06T03:51:37.740Z,45.3423333333333,-121.6935,4.3,3.94,ml,33,84,0.01361,0.14,uw,uw61730837,2021-08-24T21:35:03.040Z,"6 km NE of Government Camp, Oregon",earthquake,0.22,0.23,0.173179710010332,17,reviewed,uw,uw
2021-01-17T23:38:31.710Z,45.3205,-121.699833333333,5.64,2.71,ml,21,86,0.01694,0.14,uw,uw61699362,2021-03-27T21:05:10.040Z,"4 km ENE of Government Camp, Oregon",earthquake,0.27,0.24,0.207240012550602,14,reviewed,uw,uw
2021-01-17T23:26:21.970Z,45.3328333333333,-121.693666666667,4.98,2.54,ml,21,45,0.01212,0.16,uw,uw61699337,2021-03-27T21:05:10.040Z,"5 km ENE of Government Camp, Oregon",earthquake,0.31,0.23,0.268064631483661,12,reviewed,uw,uw
2020-12-04T14:07:31.570Z,45.1128333333333,-123.575333333333,47.5,3.53,ml,71,73,0.07653,0.21,uw,uw61694182,2021-02-12T22:38:55.040Z,"6 km NNW of Fort Hill Census Designated Place, Oregon",earthquake,0.28,0.47,0.213359908267095,23,reviewed,uw,uw
2020-08-29T22:14:16.770Z,42.5875,-124.518,2.75,2.56,ml,13,224,0.1153,0.24,uw,uw61665612,2020-11-07T18:48:45.040Z,"12 km NW of Nesika Beach, Oregon",earthquake,0.68,0.63,0.176092790642634,9,reviewed,uw,uw
2020-07-21T23:39:16.430Z,44.9931666666667,-123.842,43.98,3.17,ml,40,116,0.03108,0.2,uw,uw61661241,2020-09-26T16:58:45.040Z,"3 km ESE of Rose Lodge, Oregon",earthquake,0.33,0.59,0.119112893322689,16,reviewed,uw,uw
2020-05-21T05:40:26.430Z,44.9945,-123.848166666667,44.29,2.55,ml,36,124,0.02858,0.23,uw,uw61617807,2020-08-08T18:17:47.040Z,"3 km SE of Rose Lodge, Oregon",earthquake,0.38,0.63,0.147825368300782,12,reviewed,uw,uw
2020-04-13T09:58:12.590Z,44.9876666666667,-123.827666666667,42.56,2.51,ml,19,102,0.04045,0.14,uw,uw61597717,2020-06-30T14:03:06.040Z,"4 km ESE of Rose Lodge, Oregon",earthquake,0.34,0.7,0.086433089514629,7,reviewed,uw,uw
2020-04-01T15:44:24.440Z,45.0273333333333,-122.583833333333,13.62,2.57,ml,27,64,0.07137,0.22,uw,uw61589702,2020-06-21T00:54:32.040Z,"6 km ESE of Scotts Mills, Oregon",earthquake,0.38,0.82,0.113158883536348,14,reviewed,uw,uw
2019-11-30T04:58:27.190Z,42.7775,-124.4725,16.13,3.54,ml,14,140,,0.2,uw,uw61562171,2020-02-19T18:58:22.040Z,"4 km NNE of Port Orford, Oregon",earthquake,0.39,0.85,0.150742453951227,11,reviewed,uw,uw
2019-11-30T01:45:12.620Z,42.776,-124.476666666667,16.65,4.53,ml,15,142,,0.25,uw,uw61562126,2020-02-19T18:58:22.040Z,"3 km NNE of Port Orford, Oregon",earthquake,0.4,0.79,0.124880414425303,10,reviewed,uw,uw
